162: neval=586{'avg': -274848.4244023767, 'max': -59966.17609092925, 'min': -284886.6479360364} best=-284886.6479360364
163: neval=599{'avg': -275359.17366780073, 'max': -78629.7930021462, 'min': -286536.29166655976} best=-286536.29166655976
164: neval=597{'avg': -276052.9409945847, 'max': 45456.51059492864, 'min': -286536.29166655976} best=-286536.29166655976
165: neval=579{'avg': -278471.0629588578, 'max': 100071.6010100455, 'min': -286536.29166655976} best=-286536.29166655976
166: neval=590{'avg': -281723.35294287524, 'max': 26685.29058828602, 'min': -286536.29166655976} best=-286536.29166655976
167: neval=578{'avg': -284588.10951520473, 'max': -22124.835078256925, 'min': -286536.29166655976} best=-286536.29166655976
168: neval=597{'avg': -284839.87674938235, 'max': 13308.518426088252, 'min': -286536.29166655976} best=-286536.29166655976
169: neval=558{'avg': -284985.85400504834, 'max': -71813.47143137932, 'min': -286536.29166655976} best=-286536.29166655976
170: neval=585{'avg': -286323.90281163255, 'max': -188897.13164277538, 'min': -286536.29166655976} best=-286536.29166655976
171: neval=606{'avg': -284241.0124569873, 'max': -58954.573149262294, 'min': -286536.29166655976} best=-286536.29166655976
172: neval=589{'avg': -284343.73658634, 'max': 63253.51918188109, 'min': -286536.29166655976} best=-286536.29166655976
173: neval=588{'avg': -284903.87896676746, 'max': -83340.69404860114, 'min': -286536.29166655976} best=-286536.29166655976
174: neval=588{'avg': -285203.6815785421, 'max': 1867.418691067025, 'min': -286536.29166655976} best=-286536.29166655976
175: neval=604{'avg': -284951.1379860158, 'max': -84148.7982069013, 'min': -286536.29166655976} best=-286536.29166655976
176: neval=582{'avg': -285312.3427175437, 'max': -66755.05486169695, 'min': -286536.29166655976} best=-286536.29166655976
177: neval=620{'avg': -284527.92123631627, 'max': 136651.27707309538, 'min': -286536.29166655976} best=-286536.29166655976
178: neval=601{'avg': -284853.84080715384, 'max': 15433.891570439766, 'min': -286536.29166655976} best=-286536.29166655976
179: neval=585{'avg': -284915.4669769189, 'max': -23.090161019274092, 'min': -286536.29166655976} best=-286536.29166655976
180: neval=598{'avg': -285491.3522933028, 'max': -24785.441394832822, 'min': -286536.29166655976} best=-286536.29166655976
